"QuestionNo","QuestionStatement","QuestionAnswer","QuestionExplanation"
39,Low-fat foods are always better,,"False! Just because a food is low-fat or fat-free does not mean it's always a better nutritional choice. For instance, fat-free cookies have the same amount of sugar and calories, or often even more, than regular cookies. Read labels"
40,Fats do not provide energy to our body,,False! Fats and carbohydrates provide energy to our body and are called energy giving food or nutrients.
41,"Carbs, proteins, and fat all have about the same amount of calories, True or False",,"False! Carbohydrate and protein each weigh in at 4 calories per gram, while fat has 9 calories per gram, and alcohol has 7 calories per gram. Ounce for ounce, foods that contain mostly fat are more than twice as calorie-dense as carbs or protein."
42,"You don't need to eat fruits, vegetables or whole grain foods to get your daily requirements for fiber",,"To meet the 20 to 35 gram daily target for fiber, eat at least five serving of fruits and vegetables a day, plus three servings of whole grain foods like whole wheat breads and cereals. Dietary fiber plays a variety of roles in maintaining good health."
43,Eating fat makes you fat,,"False! Eating sugar makes you fat! Fat is an essential part of your diet and contains essential vitamins and nutrients our body's require to maintain health.  Furthermore, certain good fats actually turn off the fat storing genes and turn on the fat burning ones"
44,Losing weight on the scales is a good sign of fat loss,,False! Weight loss could also be due to a loss of muscle  mass as well!
45,Skipping breakdast is a good way to trim calories,,"False! Skipping breakfast usually leads to intense hunger, which in turn leads to overeating. Studies have shown that most overweight people skip the morning meal to save calories, but ultimately end up eating more than people who regularly break the fast."
46,"""Empty calories"" refers to foods that are free or have virtually no calories, True or False",,"False! Empty calorie foods are those that offer little nutritional value, but lots of calories. Most empty-calorie foods have few vitamins minerals, or fiber, but are high in calories, fat, and/or sugar."
47,"Certain foods, like grapefruit, celery, or cabbage soup, can burn fat and make you lose weight.",,"False! No foods can burn fat. Some foods with caffeine may speed up your metabolism (the way your body uses energy, or calories) for a short time, but they do not cause weight loss. The best way to lose weight is to cut back on the number of calories you eat and be more physically active."
48,Most packaged foods have a Nutrition Facts label.,,"True! For a healthier you, use this Nutrition Facts label to make smart food choices. Keep saturated fats, trans fats, cholesterol, sodium, and added sugar low. Get enough potassium, fiber, vitamins A and C, calcium, and iron. Check servings and calories."
49,Lowfat or fat-free means no calories.,,False! A lowfat or fat-free food is often lower in calories than the same size portion of the full-fat product. But many processed lowfat or fat-free foods have just as many calories as the full-fat version of the same food or even more calories
50,Eating fruits and vegetables is part of a healthy eating plan.,,"True! A healthy eating plan is one that emphasizes fruits, vegetables, whole grains, and fat-free or low-fat milk and milk products; includes lean meats, poultry, fish, beans, eggs, and nuts; and is low in saturated fats, trans fats, cholesterol, salt, and added sugars."
51,Eating red meat is bad for your health.,,"False! Eating lean meat in small amounts can be part of a healthy diet. Red meat, pork, chicken, and fish contain some cholesterol and saturated fat (the least healthy kind of fat). They also contain healthy nutrients like protein, iron, and zinc. Choose cuts of meat that are lower in fat and trim all visible fat"
52,"Low-fat and fat-free milk, yogurt, and cheese are just as nutritious as whole milk dairy products.",,"True! Lowfat and fat-free milk, yogurt, and cheese are just as nutritious as whole milk dairy products, but they are lower in fat and calories. Dairy products have many nutrients your body needs. They offer protein to build muscles and help organs work properly, and calcium to strengthen bones. Most milk and some yogurts are fortified with vitamin D to help your body use calcium."
53,Canned soups and stews that are fat-free or lowfat and lowsodium are good food choices when you are in a hurry.,,"True! Pack your kitchen with time-saving nutrients. Look for fat-free or lowfat and low-sodium items like canned or frozen fruits, vegetables, beans, or meat; canned soups or stews; whole-grain bread or crackers; enriched or whole grain pasta; enriched or brown rice; cheese; and yogurt."
54,It is recommended that 10-35% of your calorie intake should come from protein,,"True! It is recommended that 10-35% of your calorie intake come from protein, depending on how active your lifestyle is"
55,Athletes need more protein than couch potatoes,,True! How active you are affects how much protein your body needs. Athletes may need slightly more protein than non-athletes to repair and rebuild muscles after all the workout
56,A high-protein diet can help you lose weight,,True! Some studies show that replacing protein for carbs may help you lose weight. High-protein foods move more slowly through your digestive system. That helps you feel full longer after you eat. And your body burns more calories digesting protein than digesting carbs.
57,Too much protein can be unhealthy ,,"True! Usually, it's not a big deal to eat more protein than you need. But eating more protein means more calories, which can lead to weight gain. And if the protein is from meat or other animal sources, it might be high in saturated fat, which can lead to high cholesterol and heart disease. Too much protein can also cause problems if you have medical conditions, such as kidney disease or diabetes."
58,Our bodies are good at storing protein to use later,,False! Our bodies don't store proteins the way they store carbs and fats. That's why you need a steady supply of protein every day.
59,You can help build muscle by eating protein right after a workout,,True! Protein can help repair muscles after working out. Many studies show that having high-protein foods or drinks soon after exercise helps build and restore muscle. But protein is only part of the story. The other key nutrient to strengthen muscles is carbohydrates.
60,There are 6 essential nutrients that people need to consume through dietary sources to maintian optimal health,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
61,Is water an essential nutrient for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
62,Are vitamins essential nutrients for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
63,Are mineral essential nutrients for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
64,Is protein an essential nutrient for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
65,Is fat an essential nutrient for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
66,Are carbohydrates essential nutrients for the human body?,,"True! The six essential nutrients are vitamins, minerals, protein, fats, water, and carbohydrates"
67,There are a total of 13 essential vitamins that our body needs,,"True! The 13 essential vitamins that a human body needs are vitamins A, C, D, E, K, B-1, B-12, B-6, B-2, B-5, B-3, B-9, B-7"
